,pos,type,target_base
0,11200292,SD,G
1,11211022,SD,G
2,11213463,SD,G
3,11216277,SD,G
4,11217364,SD,G
5,11218191,SD,G
6,11221448,SD,G
7,11222316,SD,G
8,11224126,SD,G
9,11224439,SD,G
10,11226889,SD,G
11,11227675,SD,G
12,11230910,SD,G
13,11231199,SD,G
14,11234021,SD,G
15,11238762,SD,G
16,11240347,SD,G
0,11210898,SA,G
1,11213339,SA,G
2,11215895,SA,G
3,11217240,SA,G
4,11218067,SA,G
5,11221327,SA,G
6,11222189,SA,G
7,11223953,SA,G
8,11224210,SA,G
9,11226769,SA,G
10,11227534,SA,G
11,11230767,SA,G
12,11231045,SA,G
13,11233849,SA,G
14,11238683,SA,G
15,11240188,SA,G
16,11241956,SA,G
